accuracy,loss,val_accuracy,val_loss
0.631039023399353,1.0709848403930664,0.7720929980278015,0.6399709582328796
0.7759761810302734,0.6346286535263062,0.8162790536880493,0.5210808515548706
0.8186631202697754,0.5091816782951355,0.8372092843055725,0.4796634316444397
0.8494374752044678,0.42754819989204407,0.854651153087616,0.4608590304851532
0.8845135569572449,0.34403756260871887,0.8639534711837769,0.41741064190864563
0.8997352719306946,0.3013882339000702,0.8686046600341797,0.3964554965496063
0.9123097062110901,0.2530098259449005,0.8616279363632202,0.4108521640300751
0.9195896983146667,0.2391648292541504,0.8860465288162231,0.3554238975048065
0.9295168519020081,0.20221158862113953,0.880232572555542,0.38276711106300354
0.9420913457870483,0.17479552328586578,0.8883720636367798,0.38282182812690735
